size_label,N,bytes,P,rep,comm_s,compute_s,total_s
small,1000000,43977074,1,1,0.000025,0.487734,0.487806
small,1000000,43977074,1,2,0.000025,0.486407,0.486477
small,1000000,43977074,1,3,0.000025,0.487458,0.487527
small,1000000,43977074,2,1,0.202125,0.467670,0.483519
small,1000000,43977074,2,2,0.018295,0.265681,0.268958
small,1000000,43977074,2,3,0.021807,0.268692,0.269389
small,1000000,43977074,4,1,0.156189,0.284733,0.287449
small,1000000,43977074,4,2,0.052202,0.137568,0.140145
small,1000000,43977074,4,3,0.051934,0.136687,0.139914
small,1000000,43977074,8,1,0.129982,0.186928,0.188854
small,1000000,43977074,8,2,0.029297,0.072445,0.076945
small,1000000,43977074,8,3,0.029585,0.071553,0.077960
medium,5000000,222880466,1,1,0.000077,2.410611,2.410741
medium,5000000,222880466,1,2,0.000077,2.411894,2.412024
medium,5000000,222880466,1,3,0.000080,2.414413,2.414572
medium,5000000,222880466,2,1,1.073358,2.295601,2.298243
medium,5000000,222880466,2,2,0.092617,1.304835,1.307944
medium,5000000,222880466,2,3,0.085936,1.300117,1.299255
medium,5000000,222880466,4,1,0.567050,1.173971,1.177547
medium,5000000,222880466,4,2,0.243536,0.657323,0.672073
medium,5000000,222880466,4,3,0.244277,0.653383,0.666738
medium,5000000,222880466,8,1,0.485218,0.692582,0.698348
medium,5000000,222880466,8,2,0.126703,0.335234,0.338234
medium,5000000,222880466,8,3,0.126031,0.355941,0.359373
large,20000000,899000733,1,1,0.000155,9.635381,9.635603
large,20000000,899000733,1,2,0.000157,9.646285,9.646508
large,20000000,899000733,1,3,0.000151,9.638913,9.639132
large,20000000,899000733,2,1,4.108099,8.957647,8.962317
large,20000000,899000733,2,2,0.374471,5.201274,5.213349
large,20000000,899000733,2,3,0.326115,5.178676,5.163496
large,20000000,899000733,4,1,2.064314,4.497101,4.504385
large,20000000,899000733,4,2,0.959376,2.600402,2.601300
large,20000000,899000733,4,3,0.957789,2.602055,2.599060
large,20000000,899000733,8,1,1.623088,2.448362,2.455086
large,20000000,899000733,8,2,0.492400,1.318462,1.323668
large,20000000,899000733,8,3,0.495410,1.313328,1.316645
xlarge,50000000,2256997981,1,1,0.000314,24.465320,24.465724
xlarge,50000000,2256997981,1,2,0.000347,24.590219,24.590672
xlarge,50000000,2256997981,1,3,0.000333,24.539853,24.540295
xlarge,50000000,2256997981,2,1,10.189279,22.486062,22.491898
xlarge,50000000,2256997981,2,2,0.824799,13.182539,13.213357
xlarge,50000000,2256997981,2,3,0.860379,13.173548,13.148873
xlarge,50000000,2256997981,4,1,5.080261,11.303646,11.270966
xlarge,50000000,2256997981,4,2,2.457932,6.598936,6.607553
xlarge,50000000,2256997981,4,3,2.478447,6.620225,6.614240
xlarge,50000000,2256997981,8,1,3.872542,5.935178,5.957877
xlarge,50000000,2256997981,8,2,1.269997,3.358287,3.361041
xlarge,50000000,2256997981,8,3,1.259868,3.350789,3.350346
