run,tag,mode,reducers,maps,iterations,upload_s,total_s
sssp_1789489000_39194,sample.txt,frontier,2,2,4,5.362470694,150.935780476
sssp_1789489179_49186,unreachable.txt,frontier,2,2,3,5.044776720,124.764340486
sssp_1789490632_868406,rnd1k,frontier,2,2,14,4.392110794,286.110550712
sssp_1789490920_879231,rnd10k,frontier,2,2,22,4.403494121,426.766632597
sssp_1789491348_893543,rnd10k_dense,frontier,2,2,19,4.494527172,372.188536477
sssp_1789491722_904431,rnd10k_dense,frontier,1,4,19,4.338783706,372.932206693
sssp_1789492096_915599,rnd10k_dense,frontier,4,4,19,4.355435301,362.307404272
sssp_1789492460_929806,rnd10k_dense,frontier,8,4,19,4.367291337,399.423183821
sssp_1789492861_949515,rnd10k_dense,frontier,4,8,19,4.494943100,365.671586038
sssp_1789493228_963071,rnd10k_dense,full,4,4,19,4.370608437,367.813461704
sssp_1789493597_974766,rnd10k,full,2,2,22,4.329819545,426.976480660
sssp_1789494025_984338,star10k,frontier,2,2,2,4.364160009,74.286139304
sssp_1789494101_987081,layered10k,frontier,2,2,100,4.392877404,1784.065634529
sssp_1789495886_1034703,rnd10k_unreach,frontier,2,2,22,4.327215622,420.707354064
sssp_1789496309_1046047,chain40,frontier,2,2,40,4.368581312,720.836048413
