run,tag,bytes,maps_req,reducers,stages,combiner,maps_launched,upload_s,stage1_s,final_s,total_s,map_output_records,shuffle_bytes,map_task_ms,reduce_task_ms
wx_1789489543_56091,handmade.txt,292,2,2,2,1,1,3.310781675,18.891541960,21.865472060,44.097243358,8,289,,
wx_1789489614_57908,weather_small.txt,43977074,4,2,2,1,2,3.433456794,20.999020344,20.894476818,45.250161142,3885,104063,7409,5621
wx_1789489664_59710,weather_small.txt,43977074,4,2,1,1,2,3.493499038,0,18.978015856,22.388384896,3885,104051,7601,2247
wx_1789489730_60898,weather_small.txt,43977074,4,2,2,1,4,3.521546349,23.990439176,21.957969347,49.204019865,7769,207452,26398,6769
wx_1789489784_62930,weather_small.txt,43977074,1,1,2,1,1,3.475614722,18.208565624,19.973927402,41.642887848,1943,52541,2848,2146
wx_1789497268_1064663,small,43977074,2,1,2,1,2,1.411082410,15.389902222,14.348307174,32.716296893,3885,104051,4664,1618
wx_1789497304_1065911,small,43977074,2,1,2,1,2,1.402167141,15.442905316,14.429147251,32.775763149,3885,104051,4991,1592
wx_1789497339_1066976,small,43977074,2,4,2,1,2,1.465996698,16.378516317,14.413739550,33.711509679,3885,104087,4509,7232
wx_1789497376_1068141,small,43977074,2,4,2,1,2,1.409562274,16.378103927,15.370969857,34.730678536,3885,104087,4984,7246
wx_1789497414_1069310,small,43977074,4,1,2,1,4,1.400585041,16.424851242,15.424208128,34.764778278,7769,207428,11845,2009
wx_1789497451_1070477,small,43977074,4,1,2,1,4,1.425804522,16.431248284,14.314874491,33.688075759,7769,207428,11696,2025
wx_1789497488_1072475,small,43977074,4,4,2,1,4,1.397520428,16.524552931,14.347678983,33.843100091,7769,207500,12375,7557
wx_1789497525_1074257,small,43977074,4,4,2,1,4,1.404128761,17.427713473,14.426954353,34.798325563,7769,207500,12496,7212
wx_1789497562_1075822,small,43977074,8,1,2,1,8,1.410352831,18.413672232,14.358890422,35.692218919,15537,404256,38648,1558
wx_1789497601_1077424,small,43977074,8,1,2,1,8,1.402454558,18.473979498,15.423141532,36.850466646,15537,404256,38836,1862
wx_1789497640_1079546,small,43977074,8,4,2,1,8,1.427920651,19.571140031,15.351007366,37.923069858,15537,404400,41024,7491
wx_1789497681_1081617,small,43977074,8,4,2,1,8,1.419597089,20.445971814,14.382901498,37.716083149,15537,404400,41507,7266
wx_1789497722_1083783,small,43977074,16,1,2,1,16,1.391203121,22.620585462,15.443692487,41.028223259,31073,798609,144069,2065
wx_1789497766_1086611,small,43977074,16,1,2,1,16,1.399852101,23.546829127,15.338847407,41.794933174,31073,798609,148713,2056
wx_1789497810_1089433,small,43977074,16,4,2,1,16,1.414009089,23.559176172,15.366894225,41.897072061,31073,798897,156257,7371
