size,bytes,P,rep,wall_s,read_s,parse_s,reduce_s,total_s
small,43977074,1,1,0.78,0.007505,0.479107,0.000064,0.487166
small,43977074,1,2,0.71,0.007513,0.478420,0.000025,0.486863
small,43977074,1,3,0.72,0.007577,0.477677,0.000025,0.486297
small,43977074,2,1,0.69,0.185727,0.263821,0.202653,0.452869
small,43977074,2,2,0.50,0.004414,0.260932,0.017751,0.268568
small,43977074,2,3,0.52,0.004376,0.259762,0.016376,0.265484
small,43977074,4,1,0.56,0.149454,0.135670,0.156483,0.287388
small,43977074,4,2,0.39,0.003320,0.134188,0.051688,0.140964
small,43977074,4,3,0.37,0.002916,0.139846,0.063179,0.151918
small,43977074,8,1,0.42,0.102040,0.073560,0.127520,0.177695
small,43977074,8,2,0.32,0.002121,0.081119,0.030571,0.088401
small,43977074,8,3,0.32,0.001940,0.069776,0.029621,0.078652
small,43977074,16,1,0.41,0.116070,0.058477,0.121861,0.149098
small,43977074,16,2,0.28,0.002507,0.040406,0.022823,0.050615
small,43977074,16,3,0.29,0.002301,0.052761,0.021022,0.061143
medium,222880466,1,1,2.61,0.036192,2.380092,0.000225,2.417143
medium,222880466,1,2,2.65,0.035786,2.376620,0.000079,2.413691
medium,222880466,1,3,2.67,0.036154,2.374438,0.000082,2.411994
medium,222880466,2,1,2.51,0.926003,1.302308,1.018764,2.230871
medium,222880466,2,2,1.58,0.022137,1.287647,0.099026,1.312990
medium,222880466,2,3,1.58,0.019599,1.283673,0.090562,1.306199
medium,222880466,4,1,1.41,0.491561,0.648930,0.527411,1.139577
medium,222880466,4,2,0.94,0.011423,0.655948,0.241907,0.671112
medium,222880466,4,3,0.90,0.009972,0.644193,0.241317,0.658356
medium,222880466,8,1,0.96,0.341183,0.353073,0.481492,0.700065
medium,222880466,8,2,0.58,0.008131,0.328606,0.124340,0.340444
medium,222880466,8,3,0.61,0.006526,0.329459,0.127356,0.340639
medium,222880466,16,1,0.69,0.248576,0.181329,0.313527,0.429318
medium,222880466,16,2,0.43,0.005479,0.179320,0.079389,0.194429
medium,222880466,16,3,0.43,0.004433,0.189866,0.079239,0.205032
large,899000733,1,1,9.86,0.134144,9.527121,0.000431,9.662538
large,899000733,1,2,9.91,0.134449,9.513258,0.000155,9.648924
large,899000733,1,3,9.92,0.133880,9.517041,0.000159,9.652274
large,899000733,2,1,9.17,3.736817,5.161647,4.068295,8.902895
large,899000733,2,2,5.47,0.083723,5.107721,0.366350,5.197182
large,899000733,2,3,5.47,0.071669,5.123776,0.363685,5.194747
large,899000733,4,1,4.75,1.887579,2.586546,2.036361,4.462110
large,899000733,4,2,2.87,0.046168,2.558267,0.957149,2.605032
large,899000733,4,3,2.89,0.039368,2.557453,0.943687,2.596376
large,899000733,8,1,3.30,1.485181,1.690104,2.167720,3.016645
large,899000733,8,2,1.61,0.028252,1.306838,0.499047,1.335158
large,899000733,8,3,1.59,0.022856,1.289927,0.481698,1.318607
large,899000733,16,1,1.83,0.796073,0.730140,1.108772,1.540777
large,899000733,16,2,1.01,0.017647,0.692571,0.305658,0.728576
large,899000733,16,3,0.97,0.014320,0.702734,0.294040,0.730006
xlarge,2256997981,1,1,24.85,0.335334,24.295546,0.000825,24.632730
xlarge,2256997981,1,2,24.86,0.332915,24.266204,0.000336,24.600714
xlarge,2256997981,1,3,24.88,0.339651,24.275664,0.000336,24.616731
xlarge,2256997981,2,1,22.86,9.388141,13.158975,10.290488,22.567540
xlarge,2256997981,2,2,13.43,0.194000,12.950104,0.837964,13.152179
xlarge,2256997981,2,3,13.37,0.165363,12.933476,0.805450,13.109311
xlarge,2256997981,4,1,11.66,4.744395,6.685252,5.233374,11.386004
xlarge,2256997981,4,2,6.89,0.112821,6.494397,2.403022,6.614467
xlarge,2256997981,4,3,6.85,0.096431,6.492393,2.389800,6.581437
xlarge,2256997981,8,1,6.26,2.442871,3.569826,3.855655,5.986745
xlarge,2256997981,8,2,3.65,0.063972,3.319286,1.289563,3.383684
xlarge,2256997981,8,3,3.61,0.053153,3.289119,1.239810,3.344941
xlarge,2256997981,16,1,4.12,2.070004,1.859568,2.715322,3.821794
xlarge,2256997981,16,2,2.10,0.043944,1.758775,0.745181,1.823013
xlarge,2256997981,16,3,2.09,0.035379,1.763697,0.731878,1.809736
